2025/11/28 19:20:20 [error] 14609#14609: *1 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: _, request: "HEAD / HTTP/1.1", upstream: "http://127.0.0.1:3000/", host: "localhost"
2025/11/29 02:43:40 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:43:50 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:44:00 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:44:10 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:44:20 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:44:30 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:44:40 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:44:50 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:45:00 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:45:10 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:45:20 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:45:30 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:45:40 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:45:50 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:46:00 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:46:10 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:46:20 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:46:30 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:46:40 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:46:50 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:47:00 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:47:10 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:47:20 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:47:30 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:47:40 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:47:50 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:48:00 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:48:10 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:48:20 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:48:30 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:48:40 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:48:50 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:49:00 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:49:10 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
2025/11/29 02:49:20 [error] 52564#52564: *1977 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.0.16, server: _, request: "GET /api/realtime/conversations HTTP/1.1", upstream: "http://127.0.0.1:8000/api/realtime/conversations", host: "192.168.0.25", referrer: "https://192.168.0.25/mobile-voice/df2e6cf3-a513-4f1d-9853-7219feca6ec6"
